CODIGO,MUNICIPIO,NOMBRE_ESTACION,Coordenada_x,Coordenada_Y,PRECIPITACION,TEMPERATURA,ALTITUD
3509501,Aquitania,Aquitania,-72.8833333,5.5333333,898,10.8,3020
2701511,Santa Rosa de Osos,Aragon,-75.5605556,6.7819444,1918,13,2600
4413501,Solano,Araracuara,-72.3818889,-0.6163889,3237,25.7,150
1204501,Arboletes,Arboletes,-76.43214,8.85291,1937,27.5,4
1506503,Riohacha,Arena La,-72.7333333,11.1833333,1820,27.6,120
5403502,Argelia,Argelia El Recre,-76.12597,4.72427,1485,20,1600
2125509,Armero,Armero Gja,-74.91824,5.02034,1964,28.2,300
2607506,Candelaria,Arreboles,-76.4333333,3.4333333,1174,24.2,1100
2502515,Ayapel,Ayapel,-75.13701,8.31719,2276,27.6,45
1507501,Uribia,Bahia Honda,-71.8,12.3166667,230,28.1,10
5407502,Buenaventura,Bajo Calima,-76.990375,3.9535556,7565,25.7,94
1113502,Riosucio,Balsa La,-77.2,7.5166667,2848,27.2,5
3203502,La Macarena,Balsora La,-73.9333333,2.5,2699,25.1,372
3502504,Puerto Lopez,Bambu El,-73.1833333,4.1166667,2231,26.1,220
2114501,Colombia,Banquito El,-74.80627,3.37542,692,25.8,800
2111511,Baraya,Baraya,-75.05764,3.15285,1002,26.1,635
5206502,Barbacoas,Barbacoas,-78.12018,1.67027,6811,25.8,60
2610514,Sevilla,Barragan,-75.8881111,4.0334722,961,11.5,3003
3510502,Barranca de Upia,Barranca de Upia,-72.9666667,4.5666667,2631,26.3,225
2120633,Suesca,Barrancas,-73.8333333,5.1666667,646,13,2720
3503501,Villavicencio,Base Aerea Apiay,-73.58185,4.07617,3122,25.7,400
2608512,Cali,Base Aerea M F S,-76.5033148,3.4577593,914,25.2,956
2120577,Madrid,Base Aerea Madri,-74.2759167,4.7317222,565,13.7,2550
2119508,Melgar,Base Aerea Melga,-74.63446,4.21742,1424,27.5,319
2904510,Barranquilla,Base Naval,-74.7833333,11,656,26.8,10
2403515,Nobsa,Belencito,-72.90449,5.77737,783,15.1,2530
2903505,Sabanalarga,Bella Fuente,-75.0166667,10.65,969,27.5,145
2612507,Calarca,Bella La,-75.6666667,4.5166667,2166,20.4,1450
2614502,Guatica,Bellavista,-75.8004167,5.2750556,1737,16.8,2018
