CODIGO,MUNICIPIO,NOMBRE_ESTACION,Coordenada_x,Coordenada_Y,PRECIPITACION,TEMPERATURA,ALTITUD
4701509,Sibundoy,Primavera La,-76.9356944,1.1711111,1864,15.5,2065
2701515,Barbosa,Progreso Hda El,-75.3969444,6.4141667,1963,21.7,1390
2120598,Tenjo,Providencia Gja,-74.1975,4.7895833,775,13.6,2578
2319517,Sabana de Torres,Provincia,-73.44733,7.4163,2381,27.7,100
2116501,Prado,Pst de Monta,-74.9204167,3.7901389,1451,28,349
2311501,Puerto Boyaca,Pto Boyaca,-74.5968,5.9835,2078,27.8,150
3109501,Inirida,Pto Inirida,-67.92387,3.86479,2976,26.4,100
4704501,Leguizamo,Pto Leguizamo,-74.78,-0.1997222,2986,25.5,147
3207502,Fuente de Oro,Pto Limon,-73.5,3.3666667,2458,25.7,255
1303501,Tierralta,Pto Nuevo,-76.2833333,7.95,2000,26.6,145
4703502,Leguizamo,Pto Ospina,-75.9166667,0.1330556,2807,25.5,212
3801504,Puerto Carreno,Pto Paez,-67.45,6.2,1958,28.3,53
4603502,Puerto Rico,Pto Rico,-75.1504722,1.9214167,4022,25.7,285
4701507,Villagarzon,Pto Umbria,-76.5822222,0.8619444,4472,24.9,320
2804501,Valledupar,Pueblo Bello,-73.6333333,10.3666667,2006,20.9,1000
1507506,Uribia,Puerto Bolivar,-71.97337,12.2516,282,28.4,10
1501503,Santa Marta,Punta Betin,-74.2166667,11.25,453,27.8,15
2401516,Villa de San Diego de,Punta de Vega,-73.7833333,5.3166667,507,12.8,2600
2125514,Lerida,Quinta La,-74.91997,4.83022,1463,27.2,500
2617507,Supia,Rafael Escobar,-75.65,5.4666667,1945,21.6,1320
2120516,Funza,Ramada La,-74.1833333,4.7166667,722,13.1,2545
1508504,Uribia,Rancho Grande,-71.8166667,11.7,265,28.8,50
2120509,Bogota,Regadera N 1,-74.15,4.4,1021,10.2,3056
4604501,Cartagena del Chaira,Remolinos D Cagu,-74.4031667,0.5914722,2523,25.9,200
2903507,Repelon,Repelon,-75.1333333,10.5,872,28.3,10
2120539,Choconta,Represa Sisga,-73.7333333,5.0833333,874,12.4,2675
2120541,Cogua,Represa del Neus,-73.9833333,5.15,989,10.4,3150
2103502,Guadalupe,Resina,-75.6785833,1.9139722,2199,15.8,2035
2802505,Agustin Codazzi,Retorno El,-73.4166667,9.8666667,1284,28.9,150
2120550,Chia,Rhin El,-74.0333333,4.8833333,639,13.6,2600
5102502,Ricaurte,Ricaurte,-77.99446,1.23264,3979,19.7,1181
2802502,San Diego,Rincon El,-73.1358889,10.2659167,1336,26.3,350
2307501,Sonson,Rio Claro,-74.85,5.8333333,3326,26.2,423
2906504,Zona Bananera,Rio Frio,-74.1666667,10.9,979,27.8,16
1201505,Apartado,Riogrande,-76.63354,7.93347,2485,26.7,20
2207503,Rovira,Riomanso,-75.38142,4.21468,1629,16.6,2020
2617505,Riosucio,Riosucio,-75.7,5.4333333,1862,20.1,1810
1602502,El Zulia,Risaralda,-72.567,8.15275,2033,27.2,90
3508502,Rondon,Rondon,-73.21329,5.35644,1971,16.1,2120
2201501,Planadas,Rosales Fca Los,-75.78718,3.21519,1947,16.2,2040
2110505,Campoalegre,Rosales Los,-75.41717,2.60137,1272,26.5,553
2306510,San Francisco,Sabaneta,-74.3073889,4.90175,1417,13.6,2475
1307502,Cienaga de Oro,Salado El,-75.5822778,8.9139167,1296,27.9,33
1602503,Salazar,Salazar,-72.8202315,7.7763704,2782,22.5,860
3503503,Restrepo,Salinas de Upin,-73.58187,4.27786,4868,23.3,450
2125508,Ambalema,Salto El,-74.77586,4.78791,1311,28.7,241
2603504,Suarez,Salvajina La,-76.7071667,2.9433889,2358,23,1160
2614505,Viterbo,Samaria La,-75.87482,5.05151,1821,24.1,1000
2114504,Villavieja,San Alfonso,-75.1101389,3.3733889,1025,28.6,440
2206504,San Antonio,San Antonio Quin,-75.48826,3.9144,1985,21.2,1500
2502518,San Benito Abad,San Benito Abad,-75.0333333,8.9333333,1631,27.9,20
1308503,San Bernardo del Vient,San Bernardo del,-75.95948,9.36062,1369,27.2,22
2308513,San Carlos,San Carlos,-74.99023,6.19466,4060,22.7,1060
2308522,San Carlos,San Carlos,-75.0391667,6.1575,4335,22.4,1300
3501503,San Carlos de Guaroa,San Carlos Guaro,-73.25,3.7166667,2481,25.8,230
2312507,San Cayetano,San Cayetano,-74.0666667,5.3,1595,16.2,2150
2802503,La Paz,San Diego,-73.1833333,10.35,981,28.4,165
1601505,Cucuta,San Faustino,-72.4166667,8.0666667,1842,26.3,200
3109502,Inirida,San Fernando d A,-67.6666667,4.0166667,2971,27.8,90
2308514,San Francisco,San Francisco,-75.10019,5.9666,4916,21.6,1300
1601507,Cucuta,San Isidro,-72.4833333,7.9,1015,27.4,308
1103502,Rio Quito,San Isidro,-76.7507,5.62747,6436,26.2,45
2623501,San Jeronimo,San Jeronimo,-75.7333333,6.4333333,1074,25.4,764
2120572,Soacha,San Jorge Gja,-74.1892778,4.50575,785,11.6,2900
2111506,Villavieja,San Jose,-75.1875556,3.3319722,1129,28.4,400
3210507,San Jose del Guaviare,San Jose Guaviar,-72.62499,2.56921,2498,25.7,165
5402501,San Jose del Palmar,San Jose Palmar,-76.2328056,4.8980833,3767,20.7,1115
2802504,La Paz,San Jose d Orien,-73.05,10.35,1366,24.7,850
4404501,San Jose del Fragua,San Jose de Frag,-75.9644167,1.3276944,4303,25,320
1501506,Santa Marta,San Lorenzo,-74.05,11.1166667,2626,13.6,2600
2401531,San Miguel de Sema,San Miguel de Se,-73.7166667,5.5166667,1404,13.3,2600
2903511,Maria La Baja,San Pablo,-75.25,10.05,1629,27.4,20
2906505,Cienaga,San Pedro d La S,-74.05,10.9,2495,20.2,1400
2403518,Tibasosa,San Rafael,-73.00128,5.77576,824,15.2,2548
2613516,Santa Rosa de Cabal,San Remo,-75.5833611,4.8445,2597,17,1942
4601501,San Vicente del Caguan,San Vicente Cagu,-74.7658889,2.1493056,2518,25.2,300
2615509,Palestina,Santagueda,-75.6666667,5.0833333,2231,22.7,1010
3704501,Saravena,Saravena,-71.8941667,6.9493889,2884,25.4,148
1603503,Sardinata,Sardinata,-72.8206667,8.0787778,1714,26.2,320
2403532,Sativanorte,Sativanorte,-72.7,6.1333333,1172,15.2,2594
2502530,San Sebastian de Buena,Seis El,-74.2,9.3833333,1017,29,50
2308504,Rionegro,Selva La,-75.4147222,6.1319444,1830,16.5,2065
2101502,Pitalito,Sevilla,-76.1282222,1.82475,1243,20.2,1320
4701503,Sibundoy,Sibundoy,-76.90949,1.23028,1589,15.8,2100
2402503,Duitama,Sierra La,-73.1666667,5.9666667,1954,12.1,2700
5202505,La Sierra,Sierra La,-76.7525,2.1957407,2621,17.9,1939
3701501,Silos,Silos,-72.75675,7.2102917,887,12,2761
2120574,Choconta,Silos,-73.7013611,5.1178611,953,12.2,2618
2401513,Simijaca,Simijaca,-73.85,5.5,776,12.6,2590
2903517,Arjona,Sincerin,-75.287446,10.1547387,1292,27.5,10
5205509,Tangua,Sindagua,-77.3888889,1.1069444,922,13.1,2765
5403501,Sipi,Sipi,-76.64425,4.65182,9316,26,110
2114508,Colombia,Sta Ana,-74.7028889,3.5897222,1035,19.9,1410
2205503,Purificacion,Sta Helena,-74.89914,3.982,1506,27.5,300
2302503,Marquetalia,Sta Helena,-75.0666667,5.3,3919,20.2,1450
1601504,Cucuta,Sta Isabel,-72.428,8.22996,2488,27.1,90
2903510,Santa Lucia,Sta Lucia,-74.9666667,10.3333333,1014,28.8,8
2703503,El Bagre,Sta Margarita,-74.75972,7.68777,4350,27.6,179
2308505,Alejandria,Sta Rita,-75.1666667,6.3166667,6306,17,1875
4601502,San Vicente del Caguan,Sta Rosa Caguan,-74.7850556,1.7354722,2727,25.5,240
2320503,Santa Rosa del Sur,Sta Rosa d Simit,-74.0624722,7.9682222,1767,24.7,650
2306506,Alban,Sta Teresa,-74.4616111,4.8439444,1432,15.4,2200
2114506,Baraya,Sto Domingo,-74.947,3.2337778,881,23,1250
2403512,Duitama,Surbata Bonza,-73.0744722,5.8027222,841,14.2,2535
2401521,Sutatausa,Sutatausa,-73.85,5.25,736,13.1,2575
3507502,Sutatenza,Sutatenza,-73.4448854,5.0196532,1119,17.9,1930
1601509,Herran,Tama Parque Nal,-72.4872778,7.5794444,1703,13.6,2500
3602501,Tame,Tame,-71.7666667,6.45,2149,25.9,350
5204504,Taminango,Taminango,-77.2690278,1.5505556,1756,17.5,1875
5205506,Samaniego,Tanama,-77.6030556,1.3763889,1268,19.7,1711
3403502,Cumaribo,Tapon El,-69.13301,5.08452,2948,26.5,315
3502507,Bogota,Taques Los,-74.1870833,4.19275,1124,9.2,3150
2624503,Taraza,Taraza,-75.40864,7.59081,3133,27,120
1604502,El Tarra,Tarra El,-73.08055,8.59444,3038,26.8,180
3519502,Tauramena,Tauramena,-72.75,5.0166667,2966,25.3,450
2609508,El Cerrito,Tenerife,-76.0777917,3.731375,1185,13.4,2364
1605502,Teorama,Teorama,-73.2888796,8.445,1368,21.7,1000
2120549,Facatativa,Tesoro N 2,-74.3333333,4.8,655,10.8,2550
2120556,Bogota,Tibabuyes,-74.0833333,4.7333333,887,12.9,2655
2120542,Mosquera,Tibaitata,-74.2164167,4.6930278,671,13.1,2550
2120545,Tocancipa,Tibitoc 1,-73.9666667,4.9833333,761,13,2698
1603501,Tibu,Tibu,-72.71525,8.6378889,2340,27.3,50
2611503,Roldanillo,Tierrablanca,-76.13372,4.40184,997,24.4,930
2403527,Cerrito,Tinaga Gja,-72.7109444,6.8436667,1243,13.5,2698
2120631,Facatativa,Tisquesusa,-74.3166667,4.8166667,688,12.4,2570
2120522,Guatavita,Tomine N 1,-73.8333333,4.9166667,726,12.4,2600
2120533,Guatavita,Tomine N 2,-73.8666667,4.9,704,11.7,2600
1306501,Monteria,Torpeza La,-75.9666667,8.4333333,1281,27.3,42
2125513,Libano,Trinidad La,-75.0666667,4.9166667,2153,19.9,1430
2701518,Carolina,Troneras,-75.25,6.7833333,3390,17.1,1800
3101501,San Jose del Guaviare,Trueno El,-72.71547,2.4162,2816,25.2,150
1201506,Carepa,Tulenapa,-76.6658333,7.7738889,2667,26.7,30
2701509,Bello,Tulio Ospina,-75.5525833,6.321,1523,21.6,1438
3703501,Cubara,Tunebia,-72.11925,7.0090833,4891,24.2,370
3509503,Cuitiva,Tunel El,-72.95,5.5666667,729,11.3,3000
2403517,Paipa,Tunguavita,-73.1333333,5.75,961,14.3,2470
2602510,Piendamo,Tunia,-76.5295926,2.6773889,2042,18.8,1829
3403501,Cumaribo,Tuparro Bocas To,-67.85761,5.33964,2593,27.4,250
1202504,Turbo,Turbo,-76.7158333,8.0933333,2170,27.2,2
1307503,Cerete,Turipana,-75.80256,8.85811,1201,27.3,24
2403513,Tunja,U P T C,-73.34955,5.56739,641,12.9,2690
1201502,Apartado,Uniban,-76.6513889,7.8258333,2598,26.6,23
3503507,Villavicencio,Unillanos,-73.60503,4.09101,3686,25.3,395
2125506,Libano,Union La Gja,-75.0666667,4.9,2235,19.1,1500
1401504,Cartagena,Univ Cartagena,-75.5166667,10.3833333,855,27.4,1
2319504,Bucaramanga,Univ Ind Santand,-73.1220556,7.1447153,1253,23,1018
2120622,Bogota,Univ Nacional,-74.0890833,4.6380833,876,14.8,2556
2120619,Bogota,Univ Pedagogica,-74.0627222,4.6608889,1006,16.1,2571
2613508,Pereira,Univ Pereira-Utp,-75.7,4.8,2496,20.8,1400
1501504,Santa Marta,Univ Tec Magdale,-74.198,11.2272,686,27.9,7
1307505,Monteria,Univ de Cordoba,-75.86198,8.79704,1329,27.3,15
2502527,Sampues,Univ de Sucre,-75.385109,9.1956351,1246,26.7,160
2603501,Popayan,Univ del Cauca,-76.6,2.4333333,1692,19.3,1730
2605507,Cali,Univ del Valle,-76.5349815,3.3794444,1485,24.1,997
1507504,Uribia,Uribia,-72.2666667,11.7166667,354,29.1,18
1107502,Urrao,Urrao,-76.1394444,6.3244444,1578,17.1,1810
2801507,Urumita,Urumita,-73.0166667,10.5666667,1170,27.7,255
4401503,San Sebastian,Valencia,-76.6750926,1.9015741,1039,10.6,2971
2118508,Valle de San Juan,Valle de San Jua,-75.11375,4.19137,1218,26.2,1000
4404502,Valparaiso,Valparaiso,-75.7051389,1.1948889,3171,25.6,270
2207502,San Luis,Varsovia,-75.1666667,4.0166667,1436,27,400
2623502,Sopetran,Vega La-Tab Rubi,-75.8,6.5333333,1075,27.1,450
2310503,Vegachi,Vegachi,-74.79642,6.77894,2025,22.4,965
2401527,Velez,Velez Gja,-73.6762222,5.9995444,1901,16.5,2170
2120558,Bogota,Venado Oro Viver,-74.0615556,4.5983611,1089,12.5,2600
2120629,Facatativa,Venecia,-74.4166667,4.8666667,843,12,2673
2602509,Cajibio,Venta de Cajibio,-76.565213,2.5876944,2346,18.5,1873
2903506,Repelon,Veracruz,-75.08029,10.56807,826,28,12
2613511,Santa Rosa de Cabal,Veracruz,-75.6317778,4.8703056,2584,18.6,1630
2401522,Samaca,Villa Carmen,-73.4958333,5.5116667,731,13.8,2600
2318501,Sabana de Torres,Villa Leiva,-73.5406667,7.4589167,2548,27.5,328
3507503,Ramiriqui,Villa Luisa,-73.35238,5.41502,941,16.5,2200
2803501,Valledupar,Villa Rosa,-73.55125,10.1853333,1195,28.9,70
2401530,Villa de Leyva,Villa de Leiva,-73.52418,5.64137,946,16.9,2215
4401501,Villagarzon,Villagarzon,-76.6225,1.0372222,4826,24.2,405
2125512,Villahermosa,Villahermosa,-75.11671,5.03092,2231,16.8,2029
1201501,Mutata,Villarteaga,-76.4833333,7.35,5031,25.9,132
2111508,Villavieja,Villavieja Ffcc,-75.2197778,3.2252778,1127,28,430
2609523,Guadalajara de Buga,Vinculo El,-76.3018549,3.8363364,1207,23.7,1070
2308521,San Rafael,Violetas Las,-75.0022222,6.3488889,3607,22.9,952
3207503,Vistahermosa,Vista Hermosa,-73.7248,3.08355,2617,25.9,325
2120524,Bogota,Vitelma,-74.0666667,4.5666667,943,10.9,2800
3508504,Miraflores,Vivero El,-73.1405148,5.192593,1643,18.5,1640
2701521,Guarne,Vivero El,-75.5,6.2833333,1982,15.1,2400
2319509,Surata,Vivero Surata,-72.9911111,7.3685833,1080,18.5,1300
1305501,Monteria,Voragine La,-76.0333333,8.6,1205,27.1,80
2110502,Campoalegre,Vuelta La,-75.3666667,2.65,1273,25.7,500
1501502,Cienaga,Ye La,-74.21925,11.00842,744,28.6,20
2906501,El Reten,Zacapa,-74.25,10.5833333,1175,28,30
2106504,Garzon,Zuluaga,-75.5328889,2.2553056,1355,20.1,1305
